max_encoder_length,n_pca,speech_window_months,hidden_size,lstm_layers,attention_head_size,hidden_continuous_size,dropout,learning_rate,batch_size,UNRATE_val_loss,CPI_val_loss,GDP_val_loss,Trial_Number,Embedding,Aggregation,Horizon,Seed
24,,,128,2,1,32,0.23366475107128326,0.0019762189340280074,32,0.09675171226263046,0.0010750623187050223,0.000552611832972616,0,,mean,12,42
12,10,6,16,1,1,32,0.2801645123051202,0.005069041070711459,32,0.0485471747815609,0.0010654119541868567,0.0007182370754890144,7,fomc-roberta,mean,12,42
36,20,12,64,1,4,16,0.06355381998641418,0.00011137414908293544,128,1.3104174137115479,0.0014171901857480407,0.0004838953318540007,10,fomc-roberta,mean,12,42
12,30,3,128,4,4,8,0.05013616977542939,0.0009133734109072717,128,0.06880071759223938,0.0009384119766764343,0.0005151238874532282,17,fomc-roberta,mean,12,42
12,30,6,128,4,2,8,0.23284788200016843,0.000827486436710238,16,0.05270344391465187,0.000957406300585717,0.0005371911101974547,25,fomc-roberta,mean,12,42
12,30,6,128,4,4,32,0.2350156495428325,0.0004388872498133097,16,0.04768965765833855,0.0008899751119315624,0.0009249436552636325,26,fomc-roberta,mean,12,42
12,20,3,128,1,2,8,0.09565484322612919,0.006000697288753804,128,0.07921340316534042,0.0008760798373259604,0.0005296649178490043,28,fomc-roberta,mean,12,42
12,30,6,128,4,2,32,0.17897471901422654,0.0022655596875419477,16,0.05099676176905632,0.0011479720706120133,0.0006791052292101085,32,fomc-roberta,mean,12,42
12,30,12,64,4,2,16,0.30663348677575514,0.0006158601110115194,16,0.053749118000268936,0.0009159878827631474,0.0005193702527321875,35,fomc-roberta,mean,12,42
36,20,12,128,1,2,8,0.08823939937409164,0.04878321992019818,64,1.18394136428833,0.0009715712512843311,0.0005038578528910875,45,fomc-roberta,mean,12,42
36,20,12,16,1,1,32,0.3631464868549429,0.042018035936470556,64,0.867171049118042,0.000997185125015676,0.0005138487904332578,48,fomc-roberta,mean,12,42
24,,,128,2,1,32,0.23366475107128326,0.0019762189340280074,32,0.032766178250312805,0.0006221076473593712,0,,mean,3,42
36,,,128,4,1,16,0.0927133821956726,0.0030586566669785274,32,0.08157435059547424,0.0005964499432593584,1,,mean,3,42
36,,,16,2,4,32,0.17486366434275624,0.0006963114377829289,64,0.1374501883983612,0.0004089674912393093,2,,mean,3,42
36,,,16,2,2,16,0.07694296844007756,0.0007400385759087378,32,0.046079039573669434,0.0004388469678815454,4,,mean,3,42
24,,,16,1,2,32,0.13471934502902516,0.010385003379927421,16,0.03978586569428444,0.0007796071004122496,6,,mean,3,42
12,,,128,4,2,8,0.1428208286886039,0.0005394720267647739,16,0.03897104039788246,0.0011857659555971622,9,,mean,3,42
12,,,16,1,2,32,0.060089409844082384,0.000103328555696261,64,0.3948642909526825,0.00039785043918527663,16,,mean,3,42
36,,,64,2,4,16,0.1870302398863855,0.0010362161015212057,64,0.04510791599750519,0.0005672213155776262,17,,mean,3,42
24,,,128,2,1,32,0.23366475107128326,0.0019762189340280074,32,0.03344249725341797,0.0006886578048579395,0,,mean,3,42
24,,,128,2,1,32,0.23366475107128326,0.0019762189340280074,32,0.04471689462661743,0.0007537927012890577,0,,mean,3,42
36,,,128,4,1,16,0.0927133821956726,0.0030586566669785274,32,0.07822071760892868,0.0005106246098875999,1,,mean,3,42
36,,,16,2,4,32,0.17486366434275624,0.0006963114377829289,64,0.2512393891811371,0.0004152851179242134,2,,mean,3,42
